DAY,COUNTY_DESC,REPORT_TYPE,COUNT
3,Frederick,Property Damage Crash,2402
3,Garrett,Fatal Crash,3
3,Garrett,Injury Crash,156
3,Garrett,Property Damage Crash,328
3,Harford,Fatal Crash,19
3,Harford,Injury Crash,956
3,Harford,Property Damage Crash,2388
3,Howard,Fatal Crash,21
3,Howard,Injury Crash,1068
3,Howard,Property Damage Crash,3086
3,Kent,Fatal Crash,3
3,Kent,Injury Crash,56
3,Kent,Property Damage Crash,155
3,Montgomery,Fatal Crash,36
3,Montgomery,Injury Crash,4505
3,Montgomery,Property Damage Crash,8901
3,Prince Georges,Fatal Crash,84
3,Prince Georges,Injury Crash,4459
3,Prince Georges,Property Damage Crash,13597
3,Queen Annes,Fatal Crash,5
3,Queen Annes,Injury Crash,225
3,Queen Annes,Property Damage Crash,530
3,Somerset,Fatal Crash,6
3,Somerset,Injury Crash,81
3,Somerset,Property Damage Crash,204
3,St. Marys,Fatal Crash,16
3,St. Marys,Injury Crash,603
3,St. Marys,Property Damage Crash,1068
3,Talbot,Fatal Crash,4
3,Talbot,Injury Crash,266
3,Talbot,Property Damage Crash,538
3,Washington,Fatal Crash,24
3,Washington,Injury Crash,763
3,Washington,Property Damage Crash,1773
3,Wicomico,Fatal Crash,9
3,Wicomico,Injury Crash,707
3,Wicomico,Property Damage Crash,1401
3,Worcester,Fatal Crash,12
3,Worcester,Injury Crash,358
3,Worcester,Property Damage Crash,847
4,Allegany,Fatal Crash,5
4,Allegany,Injury Crash,221
4,Allegany,Property Damage Crash,512
4,Anne Arundel,Fatal Crash,44
4,Anne Arundel,Injury Crash,3528
4,Anne Arundel,Property Damage Crash,7908
4,Baltimore,Fatal Crash,41
4,Baltimore,Injury Crash,5216
4,Baltimore,Property Damage Crash,17441
4,Baltimore City,Fatal Crash,11
4,Baltimore City,Injury Crash,6020
4,Baltimore City,Property Damage Crash,14281
4,Calvert,Fatal Crash,6
4,Calvert,Injury Crash,389
4,Calvert,Property Damage Crash,869
4,Caroline,Fatal Crash,6
4,Caroline,Injury Crash,180
4,Caroline,Property Damage Crash,370
4,Carroll,Fatal Crash,20
4,Carroll,Injury Crash,559
