HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
4,Kent,Injury Crash,6
4,Kent,Property Damage Crash,20
4,Montgomery,Fatal Crash,8
4,Montgomery,Injury Crash,319
4,Montgomery,Property Damage Crash,843
4,Prince Georges,Fatal Crash,20
4,Prince Georges,Injury Crash,438
4,Prince Georges,Property Damage Crash,1678
4,Queen Annes,Injury Crash,20
4,Queen Annes,Property Damage Crash,75
4,Somerset,Injury Crash,9
4,Somerset,Property Damage Crash,26
4,St. Marys,Injury Crash,38
4,St. Marys,Property Damage Crash,106
4,Talbot,Fatal Crash,1
4,Talbot,Injury Crash,18
4,Talbot,Property Damage Crash,59
4,Washington,Fatal Crash,6
4,Washington,Injury Crash,58
4,Washington,Property Damage Crash,185
4,Wicomico,Fatal Crash,2
4,Wicomico,Injury Crash,41
4,Wicomico,Property Damage Crash,128
4,Worcester,Fatal Crash,3
4,Worcester,Injury Crash,13
4,Worcester,Property Damage Crash,69
5,Allegany,Fatal Crash,2
5,Allegany,Injury Crash,37
5,Allegany,Property Damage Crash,68
5,Anne Arundel,Fatal Crash,14
5,Anne Arundel,Injury Crash,300
5,Anne Arundel,Property Damage Crash,903
5,Baltimore,Fatal Crash,7
5,Baltimore,Injury Crash,438
5,Baltimore,Property Damage Crash,1622
5,Baltimore City,Fatal Crash,3
5,Baltimore City,Injury Crash,441
5,Baltimore City,Property Damage Crash,1207
5,Calvert,Fatal Crash,3
5,Calvert,Injury Crash,40
5,Calvert,Property Damage Crash,152
5,Caroline,Fatal Crash,3
5,Caroline,Injury Crash,21
5,Caroline,Property Damage Crash,82
5,Carroll,Fatal Crash,2
5,Carroll,Injury Crash,74
5,Carroll,Property Damage Crash,212
5,Cecil,Fatal Crash,5
5,Cecil,Injury Crash,58
5,Cecil,Property Damage Crash,209
5,Charles,Fatal Crash,4
5,Charles,Injury Crash,86
5,Charles,Property Damage Crash,316
5,Dorchester,Injury Crash,19
5,Dorchester,Property Damage Crash,47
5,Frederick,Fatal Crash,2
5,Frederick,Injury Crash,143
5,Frederick,Property Damage Crash,421
5,Garrett,Fatal Crash,1
5,Garrett,Injury Crash,16
5,Garrett,Property Damage Crash,76
5,Harford,Fatal Crash,6
5,Harford,Injury Crash,109
5,Harford,Property Damage Crash,302
5,Howard,Fatal Crash,5
5,Howard,Injury Crash,138
5,Howard,Property Damage Crash,453
5,Kent,Fatal Crash,1
5,Kent,Injury Crash,5
5,Kent,Property Damage Crash,29
5,Montgomery,Fatal Crash,8
5,Montgomery,Injury Crash,561
5,Montgomery,Property Damage Crash,1096
5,Prince Georges,Fatal Crash,20
5,Prince Georges,Injury Crash,629
5,Prince Georges,Property Damage Crash,1993
5,Queen Annes,Injury Crash,35
5,Queen Annes,Property Damage Crash,109
5,Somerset,Injury Crash,13
5,Somerset,Property Damage Crash,41
5,St. Marys,Fatal Crash,1
5,St. Marys,Injury Crash,57
5,St. Marys,Property Damage Crash,176
5,Talbot,Injury Crash,22
5,Talbot,Property Damage Crash,62
5,Washington,Fatal Crash,3
5,Washington,Injury Crash,95
5,Washington,Property Damage Crash,261
5,Wicomico,Injury Crash,44
5,Wicomico,Property Damage Crash,167
5,Worcester,Fatal Crash,1
5,Worcester,Injury Crash,24
5,Worcester,Property Damage Crash,126
6,Allegany,Fatal Crash,1
6,Allegany,Injury Crash,25
6,Allegany,Property Damage Crash,117
6,Anne Arundel,Fatal Crash,8
6,Anne Arundel,Injury Crash,546
6,Anne Arundel,Property Damage Crash,1376
6,Baltimore,Fatal Crash,11
6,Baltimore,Injury Crash,893
6,Baltimore,Property Damage Crash,2617
6,Baltimore City,Fatal Crash,5
6,Baltimore City,Injury Crash,720
6,Baltimore City,Property Damage Crash,1800
6,Calvert,Fatal Crash,2
6,Calvert,Injury Crash,76
6,Calvert,Property Damage Crash,192
6,Caroline,Fatal Crash,3
6,Caroline,Injury Crash,40
6,Caroline,Property Damage Crash,84
6,Carroll,Fatal Crash,5
6,Carroll,Injury Crash,101
6,Carroll,Property Damage Crash,366
6,Cecil,Fatal Crash,5
6,Cecil,Injury Crash,98
6,Cecil,Property Damage Crash,310
6,Charles,Fatal Crash,1
6,Charles,Injury Crash,125
6,Charles,Property Damage Crash,409
6,Dorchester,Fatal Crash,2
6,Dorchester,Injury Crash,40
6,Dorchester,Property Damage Crash,113
6,Frederick,Fatal Crash,4
6,Frederick,Injury Crash,210
6,Frederick,Property Damage Crash,626
6,Garrett,Fatal Crash,1
6,Garrett,Injury Crash,27
6,Garrett,Property Damage Crash,106
6,Harford,Fatal Crash,5
6,Harford,Injury Crash,195
6,Harford,Property Damage Crash,574
